MW,FaultType,Rrup,VS30,PGA
4.1,Yanal,103.66,646.0,0.00027220534917980576
4.1,Yanal,298.97,760.0,2.064930023027415e-06
4.1,Yanal,126.06,760.0,8.65398715894587e-05
4.1,Yanal,156.67,760.0,8.121906072468457e-06
4.1,Yanal,150.93,486.0,0.00020736032730917937
4.1,Yanal,103.53,760.0,0.00020186289634707512
4.1,Yanal,69.95,395.54,0.0014229146510154993
4.1,Yanal,91.3,560.63,0.0008988438923880331
4.1,Yanal,47.45,344.76,0.0045503655660002786
4.1,Yanal,153.14,560.63,8.863418231387934e-05
4.1,Yanal,344.75,396.0,2.609430791053865e-05
4.1,Yanal,82.12,560.63,0.00043004159785155666
6.0,Yanal,78.32,570.0,0.010055528542500667
3.6,Yanal,19.44,655.67,0.0015828238427478087
4.2,Yanal,103.05,378.0,0.00031955344843046207
3.9,Yanal,46.03,655.67,0.0005218186383068738
4.2,Yanal,131.53,422.0,9.202860813681797e-05
3.7,Yanal,99.31,653.94,0.00033581456748510777
4.6,Yanal,271.08,760.0,0.000208058773562448
4.6,Yanal,325.66,688.28,9.03211086579433e-05
3.6,Yanal,60.9,584.0,0.00042156636826416787
4.4,Yanal,169.2,760.0,0.00014580716056092718
3.5,Ters,99.18,501.27,7.689798343747382e-05
3.6,Yanal,20.85,242.8,0.01258241040658196
3.6,Yanal,59.76,519.0,0.00017945538892120237
3.6,Yanal,48.42,552.56,0.0005924620884993402
3.6,Yanal,21.44,501.27,0.0034591472965562788
3.6,Yanal,39.04,507.43,0.0010654617417763343
3.6,Yanal,70.06,507.06,0.00038343068719064465
3.6,Yanal,79.14,560.63,0.0018660801662530148
3.6,Yanal,72.21,504.27,0.0010573638825563316
3.6,Yanal,39.13,535.12,0.002984158587265479
4.6,Yanal,531.97,611.0,4.798170388804466e-06
4.6,Yanal,238.19,646.0,0.0002533612540690269
4.6,Yanal,313.26,723.35,5.363562941068185e-05
4.6,Yanal,406.3,760.0,3.991451638940399e-05
4.6,Yanal,305.46,760.0,4.714529773943527e-05
4.2,Yanal,178.56,760.0,3.0417293155045863e-05
4.2,Yanal,133.33,489.62,0.00023493804860439275
4.2,Yanal,101.91,719.52,0.00025902750312986074
4.2,Yanal,75.68,432.0,0.0004082314708856239
4.2,Yanal,142.02,403.94,8.851316510644051e-05
3.96,Yanal,212.61,396.89,1.3456183428446566e-05
3.96,Yanal,157.16,760.0,1.4604113047699953e-05
3.5,Yanal,157.46,760.0,1.7990634230065377e-06
3.5,Yanal,199.18,760.0,8.506226345448374e-06
3.5,Yanal,33.75,748.33,0.0005794360945491401
4.4,Yanal,78.24,561.96,0.0020104940701979575
4.4,Yanal,26.25,760.0,0.0013900086452800177
7.14,Yanal,168.26,399.61,0.01877915104549724
6.2,Yanal,67.73,487.34,0.013437290306843862
6.2,Yanal,63.3,401.26,0.02240271129805274
6.2,Yanal,75.62,538.69,0.01276469516247842
6.2,Yanal,27.52,671.52,0.025110843735824572
6.2,Yanal,116.42,446.63,0.015009899967394854
6.2,Yanal,120.26,346.56,0.016909038923368768
6.2,Yanal,64.84,714.27,0.01399641826865359
6.2,Yanal,71.67,494.1,0.011678185909502384
6.2,Yanal,66.53,410.45,0.009620389946757875
6.2,Yanal,67.12,575.54,0.00991844158553903
6.2,Yanal,50.86,409.0,0.030792794843112245
6.2,Yanal,50.69,535.13,0.030785257813461624
6.2,Yanal,38.73,212.72,0.06006296638388667
6.2,Yanal,55.87,190.54,0.03660866388006533
6.2,Yanal,44.81,215.34,0.0411428934714417
6.2,Yanal,45.45,270.22,0.03802024551091695
6.2,Yanal,100.1,490.88,0.011584875365432292
6.2,Yanal,33.57,652.85,0.04632338718572078
6.2,Yanal,53.06,223.6,0.035610633716523496
6.2,Yanal,36.51,223.04,0.0453766974852071
6.2,Yanal,56.37,240.43,0.054173963817874725
6.2,Yanal,72.63,667.36,0.012245789668208417
6.2,Yanal,99.08,506.64,0.00929698290559362
6.2,Yanal,70.59,463.59,0.01985599820696255
6.2,Yanal,87.08,407.59,0.012252190569037032
6.2,Yanal,86.32,282.7,0.01103206135361837
6.2,Yanal,87.09,292.61,0.015893732759097216
6.2,Yanal,88.05,313.96,0.012560843855474043
6.2,Yanal,88.07,311.34,0.011114690660135351
6.2,Yanal,66.91,533.97,0.024893753398497382
6.2,Yanal,87.57,487.91,0.012638077579916971
